timestamp,lifecycle,run_count,verified_bot_follow_relationships,unique_verified_bot_entities,probable_bot_followers,unknown_followers,human_or_org_followers,total_followers,bot_replies,bot_reposts,bot_mentions,bot_conversations,collaboration_requests,api_consumers,feed_requests,repository_watchers,repository_stars,directory_entries,account_health_issues,cost_usd,notes
2026-08-25T15:04:05Z,running_core_no_social,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub-native core; social adapters remain disabled
2026-08-25T15:06:04Z,running_core_no_social,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub-native core; social adapters remain disabled
2026-08-25T16:04:45Z,running_core_no_social,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub-native core; social adapters remain disabled
